"im.status.ethereum - Install events (All events, Per interval, Daily) and Device updates (All events, Per interval, Daily), by app version for 2020-02-04 - 2020-02-11 and 2020-01-27 - 2020-02-03"
,,Metric,"Install events (All events, Per interval, Daily)","Install events (All events, Per interval, Daily)","Device updates (All events, Per interval, Daily)","Device updates (All events, Per interval, Daily)",Notes
,,Dimension,All app versions,1.0.0 (2020020414),All app versions,1.0.0 (2020020414)
Period,Date
2020-02-04 - 2020-02-11,2020-02-04,,41,4,19,12
2020-02-04 - 2020-02-11,2020-02-05,,57,7,2,-,Rollout of release - Started rollout of 1.0.0 at 100%
2020-02-04 - 2020-02-11,2020-02-06,,153,64,"2,009","2,009"
2020-02-04 - 2020-02-11,2020-02-07,,51,29,"1,686","1,681"
2020-02-04 - 2020-02-11,2020-02-08,,16,7,592,591
2020-02-04 - 2020-02-11,2020-02-09,,9,9,376,376
2020-02-04 - 2020-02-11,2020-02-10,,19,13,216,212
2020-02-04 - 2020-02-11,2020-02-11,,-,-,-,-
2020-01-27 - 2020-02-03,2020-01-27,,56,-,8,-
2020-01-27 - 2020-02-03,2020-01-28,,63,-,2,-
2020-01-27 - 2020-02-03,2020-01-29,,33,-,3,-
2020-01-27 - 2020-02-03,2020-01-30,,33,-,5,-
2020-01-27 - 2020-02-03,2020-01-31,,47,-,1,-
2020-01-27 - 2020-02-03,2020-02-01,,33,-,2,-
2020-01-27 - 2020-02-03,2020-02-02,,49,-,3,-
2020-01-27 - 2020-02-03,2020-02-03,,-,-,-,-
